setting,method,avg_visual_tokens,vision_stage_tokens,layer16_tokens,repeat,e2e_mean_ms,e2e_sample_std_ms,prefill_mean_ms,prefill_sample_std_ms,throughput_samples_per_s,peak_allocated_gb,dynamic_peak_allocated_gb,total_generation_seconds,measured_samples,e2e_speedup,prefill_speedup
Vanilla-576,Vanilla,576,576,576,r1,211.5130691640079,3.5863748233921884,154.9942208251953,3.4330653660955006,4.727840241515274,15.040469646453857,1.2483744621276855,105.75653458200395,500,1.0,1.0
Vanilla-576,Vanilla,576,576,576,r2,211.4849522560835,3.7902017637673007,154.96299090576173,3.602916867884436,4.72846880750701,15.040469646453857,1.2483744621276855,105.74247612804174,500,1.0,1.0
Vanilla-576,Vanilla,576,576,576,r3,211.86104752868414,3.7006376874965405,155.33481860351563,3.533923070914242,4.7200748399236,15.040469646453857,1.2483744621276855,105.93052376434207,500,1.0,1.0
ApET-192,ApET,192,288,96,r1,148.608828086406,1.656907822607479,90.2560311126709,1.6000610518591551,6.7290753374259005,15.040469646453857,1.2483744621276855,74.304414043203,500,1.4232873772547843,1.717272728641354
ApET-192,ApET,192,288,96,r2,149.20820889621973,1.4439072779944113,90.79829708862304,1.3891798093756924,6.7020441261079675,15.040469646453857,1.2483744621276855,74.60410444810987,500,1.4173814820281083,1.706672876854851
ApET-192,ApET,192,288,96,r3,149.3039414808154,1.4982595401613716,90.79894450378418,1.4499512753599144,6.697746824912144,15.040469646453857,1.2483744621276855,74.6519707404077,500,1.418991658407805,1.7107557742264483
ApET-128,ApET,128,192,64,r1,116.66889691352844,1.306321908456861,58.435638793945316,1.0931323161661073,8.57126471968935,15.040469646453857,1.2483744621276855,58.33444845676422,500,1.8129345074786742,2.6523919995421474
ApET-128,ApET,128,192,64,r2,117.58304395899177,1.248189876879654,58.996812545776365,1.0605111718400402,8.50462759195756,15.040469646453857,1.2483744621276855,58.79152197949588,500,1.7986007602409146,2.6266332742217897
ApET-128,ApET,128,192,64,r3,117.47162573412061,1.0794611646444094,58.959060417175294,1.0104845635853128,8.512693969719546,15.040469646453857,1.2483744621276855,58.735812867060304,500,1.8035082617158957,2.6346216765399
ApET-64,ApET,64,96,32,r1,106.3088510632515,1.2791704891010152,48.787565040588376,1.2062620999159344,9.406554487217827,15.040469646453857,1.2483744621276855,53.15442553162575,500,1.9896092098499132,3.1769206086888997
ApET-64,ApET,64,96,32,r2,106.63811517879367,1.204364860751702,48.97742237854004,1.143953093871329,9.377510079987447,15.040469646453857,1.2483744621276855,53.319057589396834,500,1.983202271547087,3.1639678729532394
ApET-64,ApET,64,96,32,r3,106.49359338358045,1.2151397578204903,48.83758480834961,1.1695329059890307,9.390236240766981,15.040469646453857,1.2483744621276855,53.24679669179022,500,1.9894252865107058,3.180640877575881
