Metric,Value
ApET64_vs_Vanilla_token_reduction_pct,88.88888888888889
ApET64_vs_Vanilla_GQA_change_pp,-4.619999999999997
ApET64_vs_Vanilla_POPE_change_pp,-1.2298271780069427
ApET64_vs_Vanilla_E2E_reduction_pct,49.683232822905445
ApET64_vs_Vanilla_E2E_speedup,1.9874122559692355
ApET64_vs_Vanilla_prefill_reduction_pct,68.49235261517512
ApET64_vs_Random_GQA_gain_pp,2.25
ApET64_vs_Random_POPE_gain_pp,5.949246552569562
ApET64_vs_Random_E2E_overhead_ms,3.384590941170842
ApET64_vs_Random_E2E_overhead_pct,3.282963662462917
ApET64_vs_Random_prefill_overhead_ms,1.0229086659749242
ApET64_vs_Random_prefill_overhead_pct,2.1379807470754795
